"region","valår","Moderaterna","Centerpartiet","Liberalerna","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"0114 Upplands Väsby","2002",11,2,8,3,2,20,4,0,1
"0114 Upplands Väsby","2006",17,2,6,3,3,16,3,1,0
"0114 Upplands Väsby","2010",17,2,6,2,5,15,2,2,0
"0114 Upplands Väsby","2014",13,2,4,2,5,16,4,3,2
"0115 Vallentuna","2002",11,4,6,4,2,13,0,0,1
"0115 Vallentuna","2006",16,5,4,3,2,9,1,0,1
"0115 Vallentuna","2010",15,5,4,2,4,8,1,1,1
"0115 Vallentuna","2014",12,5,4,2,4,10,1,3,0
"0117 Österåker","2002",12,2,8,4,2,17,3,0,3
"0117 Österåker","2006",17,2,5,2,2,14,2,0,7
"0117 Österåker","2010",18,2,7,2,4,10,1,0,7
"0117 Österåker","2014",14,2,5,2,4,12,2,2,8
"0120 Värmdö","2002",13,2,8,4,2,19,3,0,0
"0120 Värmdö","2006",21,2,4,2,3,17,2,0,0
"0120 Värmdö","2010",19,3,4,2,5,15,1,2,0
"0120 Värmdö","2014",17,2,5,2,5,15,1,4,0
"0123 Järfälla","2002",13,1,10,5,2,26,4,0,0
"0123 Järfälla","2006",20,2,7,4,3,21,3,1,0
"0123 Järfälla","2010",21,2,5,4,4,19,3,3,0
"0123 Järfälla","2014",17,3,4,3,6,20,4,4,0
"0125 Ekerö","2002",13,3,6,4,4,10,1,0,0
"0125 Ekerö","2006",18,2,4,2,3,7,1,0,4
"0125 Ekerö","2010",18,2,4,2,4,5,1,1,4
"0125 Ekerö","2014",16,3,3,2,5,6,1,2,3
"0126 Huddinge","2002",13,0,8,4,2,24,5,0,5
"0126 Huddinge","2006",18,0,6,4,3,19,3,2,6
"0126 Huddinge","2010",21,2,5,2,4,16,3,3,5
"0126 Huddinge","2014",17,3,4,2,6,17,4,5,3
"0127 Botkyrka","2002",9,0,8,4,3,28,6,0,3
"0127 Botkyrka","2006",15,1,4,4,3,25,5,0,4
"0127 Botkyrka","2010",13,0,3,2,4,24,4,3,8
"0127 Botkyrka","2014",10,1,2,3,7,23,5,5,5
"0128 Salem","2002",11,2,4,2,1,9,2,0,0
"0128 Salem","2006",14,2,3,1,2,8,1,0,0
"0128 Salem","2010",13,1,3,1,2,7,1,1,2
"0128 Salem","2014",11,2,2,1,2,7,1,2,3
"0136 Haninge","2002",10,0,9,4,2,28,5,0,3
"0136 Haninge","2006",17,2,6,4,2,22,4,2,2
"0136 Haninge","2010",21,2,4,2,4,20,2,4,2
"0136 Haninge","2014",17,2,4,2,5,20,3,6,2
"0138 Tyresö","2002",16,1,7,2,2,19,4,0,0
"0138 Tyresö","2006",22,2,4,2,3,16,2,0,0
"0138 Tyresö","2010",21,1,5,2,4,14,2,2,0
"0138 Tyresö","2014",18,2,4,2,5,14,2,4,0
"0139 Upplands-Bro","2002",8,1,5,4,1,18,4,0,0
"0139 Upplands-Bro","2006",12,2,3,3,2,16,2,1,0
"0139 Upplands-Bro","2010",13,1,4,3,3,13,2,2,0
"0139 Upplands-Bro","2014",10,2,4,2,3,14,2,4,0
"0140 Nykvarn","2002",5,1,2,1,0,9,1,0,12
"0140 Nykvarn","2006",6,2,2,0,0,7,1,1,12
"0140 Nykvarn","2010",7,1,2,0,2,7,1,2,9
"0140 Nykvarn","2014",7,2,1,0,2,7,0,2,9
"0160 Täby","2002",26,0,17,4,2,11,1,0,0
"0160 Täby","2006",34,2,11,4,2,8,0,0,0
"0160 Täby","2010",26,3,18,2,4,8,0,0,0
"0160 Täby","2014",24,4,16,2,5,8,0,2,0
"0162 Danderyd","2002",20,6,9,4,1,5,0,0,0
"0162 Danderyd","2006",23,7,6,4,1,4,0,0,0
"0162 Danderyd","2010",19,10,8,3,2,3,0,0,0
"0162 Danderyd","2014",19,8,8,3,3,3,0,1,0
"0163 Sollentuna","2002",19,2,11,4,2,16,3,0,4
"0163 Sollentuna","2006",26,2,7,4,2,13,2,0,5
"0163 Sollentuna","2010",26,2,7,2,4,11,2,1,6
"0163 Sollentuna","2014",22,3,6,4,5,12,2,3,4
"0180 Stockholm","2002",27,0,17,5,6,35,11,0,0
"0180 Stockholm","2006",41,1,10,3,10,27,9,0,0
"0180 Stockholm","2010",38,3,10,1,16,25,8,0,0
"0180 Stockholm","2014",28,3,9,2,16,24,10,6,3
"0181 Södertälje","2002",10,3,7,4,4,28,5,0,4
"0181 Södertälje","2006",14,5,5,4,4,23,4,1,4
"0181 Södertälje","2010",15,3,4,2,5,25,4,5,2
"0181 Södertälje","2014",12,3,4,3,6,23,4,9,1
"0182 Nacka","2002",23,0,10,4,4,16,4,0,0
"0182 Nacka","2006",29,2,7,2,4,13,2,0,2
"0182 Nacka","2010",29,2,7,2,5,11,2,0,3
"0182 Nacka","2014",24,3,5,2,7,11,3,2,4
"0183 Sundbyberg","2002",14,0,8,3,2,19,5,0,0
